experiment,control,mode,genome
SRX5443766,SRX5443768,ssDRIP,dm6
SRX5443767,NA,ssDRIP,dm6
SRX5443768,NA,ssDRIP,dm6
SRX5443751,SRX5443755,ssDRIP,dm6
SRX8110931,SRX8110934,DRIP,hg38
SRX8110929,SRX8110933,DRIP,hg38
SRX8110928,SRX8110933,DRIP,hg38
SRX8110934,NA,DRIP,hg38
SRX8110932,NA,DRIP,hg38
SRX8110933,NA,DRIP,hg38
SRX8110930,SRX8110934,DRIP,hg38
SRX5696400,NA,DRIP,hg38
SRX5696402,NA,DRIP,hg38
SRX5696403,NA,DRIP,hg38
SRX5696404,NA,DRIP,hg38
SRX5696405,NA,DRIP,hg38
SRX5696401,NA,DRIP,hg38
SRX2831469,SRX2831474,DRIP,dm6
SRX2831470,NA,DRIP,dm6
SRX2831471,SRX2831474,DRIP,dm6
SRX2831472,SRX2831470,DRIP,dm6
SRX2831473,SRX2831470,DRIP,dm6
SRX2831474,NA,DRIP,dm6
SRX2831475,SRX2831480,DRIP,dm6
SRX2831476,NA,DRIP,dm6
SRX2831477,SRX2831480,DRIP,dm6
SRX2831478,SRX2831476,DRIP,dm6
SRX2831479,SRX2831476,DRIP,dm6
SRX2831480,NA,DRIP,dm6
ERX2277510,NA,DRIP,hg38
ERX2277511,NA,DRIP,hg38
SRX4671917,SRX4671912,DRIP,hg38
SRX4671916,SRX4671912,DRIP,hg38
SRX4671915,SRX4671912,DRIP,hg38
SRX4671914,SRX4671912,DRIP,hg38
SRX6427713,SRX6427716,qDRIP,hg38
SRX6427714,SRX6427716,qDRIP,hg38
SRX6427715,SRX6427716,qDRIP,hg38
SRX6427716,NA,qDRIP,hg38
SRX6427717,SRX6427719,qDRIP,hg38
SRX6427718,SRX6427719,qDRIP,hg38
SRX6427719,NA,qDRIP,hg38
SRX6427720,SRX6427723,qDRIP,hg38
SRX6427721,SRX6427723,qDRIP,hg38
SRX6427722,SRX6427723,qDRIP,hg38
SRX6427723,NA,qDRIP,hg38
SRX7583977,SRX7583978,qDRIP,hg38
SRX7583978,NA,qDRIP,hg38
SRX7583979,SRX7583978,qDRIP,hg38
SRX7583980,SRX7583978,qDRIP,hg38
SRX7583981,SRX7583983,qDRIP,hg38
SRX7583982,SRX7583984,qDRIP,hg38
SRX7583983,NA,qDRIP,hg38
SRX7583984,NA,qDRIP,hg38
SRX6651643,NA,DRIP,hg38
SRX6651644,NA,DRIP,hg38
SRX6651645,NA,DRIP,hg38
SRX6651646,NA,DRIP,hg38
SRX8908657,SRX8908659,DRIP,hg38
SRX8908658,SRX8908659,DRIP,hg38
SRX8908659,NA,DRIP,hg38
SRX8908660,SRX8908659,DRIP,hg38
SRX8908661,SRX8908659,DRIP,hg38
SRX8908662,SRX8908664,DRIP,hg38
SRX8908663,SRX8908664,DRIP,hg38
SRX8908664,NA,DRIP,hg38
SRX8908665,SRX8908667,DRIP,hg38
SRX8908666,SRX8908667,DRIP,hg38
SRX8908667,NA,DRIP,hg38
SRX8908668,SRX8908670,DRIP,hg38
SRX8908669,SRX8908670,DRIP,hg38
SRX8908670,NA,DRIP,hg38
SRX5729069,NA,sDRIP,hg38
SRX5729070,NA,sDRIP,hg38
SRX5729072,NA,sDRIP,hg38
SRX5729073,NA,sDRIP,hg38
SRX5729074,NA,sDRIP,hg38
SRX5729075,NA,sDRIP,hg38
SRX5729076,NA,sDRIP,hg38
SRX5729071,NA,sDRIP,hg38
SRX3581336,NA,DRIP,hg38
SRX3581338,SRX3581336,DRIP,hg38
SRX3581339,SRX3581336,DRIP,hg38
SRX3581340,SRX3581336,DRIP,hg38
SRX3581341,NA,DRIP,hg38
SRX3581342,SRX3581341,DRIP,hg38
SRX3581343,NA,DRIP,hg38
SRX3581344,SRX3581343,DRIP,hg38
SRX3581345,NA,DRIP,hg38
SRX3581346,SRX3581345,DRIP,hg38
SRX5290925,NA,ssDRIP,mm10
SRX5290926,NA,ssDRIP,mm10
SRX5290927,NA,ssDRIP,mm10
SRX5290928,NA,ssDRIP,mm10
SRX5290929,NA,ssDRIP,mm10
SRX5290930,NA,ssDRIP,mm10
SRX5290931,NA,ssDRIP,mm10
SRX5290932,NA,ssDRIP,mm10
SRX5290933,NA,ssDRIP,mm10
SRX5290934,NA,ssDRIP,mm10
SRX5290935,NA,ssDRIP,mm10
SRX5290936,NA,ssDRIP,mm10
SRX5290937,NA,ssDRIP,mm10
SRX5290938,NA,ssDRIP,mm10
SRX5290939,NA,ssDRIP,mm10
SRX5290940,NA,ssDRIP,mm10
SRX5290941,NA,ssDRIP,mm10
SRX5290942,NA,ssDRIP,mm10
SRX5290943,NA,ssDRIP,mm10
SRX5290944,NA,ssDRIP,mm10
SRX5290945,NA,ssDRIP,mm10
SRX5290946,NA,ssDRIP,mm10
SRX5290947,NA,ssDRIP,mm10
SRX5290948,NA,ssDRIP,mm10
SRX5290949,NA,ssDRIP,mm10
SRX5290950,NA,ssDRIP,mm10
SRX5290951,NA,ssDRIP,mm10
SRX5290952,NA,ssDRIP,mm10
SRX5290953,NA,ssDRIP,mm10
SRX5290954,NA,ssDRIP,mm10
SRX5290955,NA,ssDRIP,mm10
SRX5290956,NA,ssDRIP,mm10
SRX5290957,NA,ssDRIP,mm10
SRX5290958,NA,ssDRIP,mm10
SRX8122753,NA,DRIP,hg38
SRX8122754,NA,DRIP,hg38
SRX8122755,NA,DRIP,hg38
SRX8122756,NA,DRIP,hg38
SRX8122757,NA,DRIP,hg38
SRX8122758,NA,DRIP,hg38
SRX8122759,NA,DRIP,hg38
SRX8122760,NA,DRIP,hg38
SRX8122769,NA,sDRIP,hg38
SRX8122770,NA,sDRIP,hg38
SRX8122771,NA,sDRIP,hg38
SRX8122772,NA,sDRIP,hg38
SRX8122773,NA,sDRIP,hg38
SRX6686232,NA,DRIPc,hg38
SRX6686233,NA,DRIPc,hg38
SRX6686234,NA,DRIPc,hg38
SRX6686235,NA,DRIPc,hg38
SRX6686236,NA,DRIP,hg38
SRX6686237,NA,DRIP,hg38
SRX8388985,NA,DRIPc,hg38
SRX8388986,NA,DRIPc,hg38
